Solvent,Temperature_K,mu_self_REF,mu_solv_REF,Solvent_density_REF,Solvent_MolWeight_REF,Method_REF,log10_x_REF,w_REF,log10_S_REF,delta_mu_REF,mu_self_SLE,mu_solv_SLE,Solvent_density_SLE,Solvent_MolWeight_SLE,Method_SLE,log10_x_SLE,w_SLE,log10_S_SLE,x,delta_mu_SLE,error_log10_x,error_log10_S,error_w,error_delta_mu
propanone,333.15,-18.17110338,-19.06952928,767.62,58.0795,REF,-1.54886684,0.2383121637,-0.50067273,-0.8984258999999994,-18.17110338,-18.76201951,767.62,58.0795,SLE,-1.17595654,0.4346393992,-0.21063192,0.06668735,-0.5909161299999965,0.37291030000000003,0.29004081000000004,0.1963272355,0.3075097700000029
propanone,328.15,-18.43036953,-19.36195088,771.99,58.0795,REF,-1.60968114,0.2131941991,-0.55023161,-0.9315813499999983,-18.43036953,-19.05000547,771.99,58.0795,SLE,-1.21979212,0.4083673498,-0.23939223,0.06028481,-0.6196359399999984,0.38988902000000003,0.31083938,0.1951731507,0.31194540999999987
propanone,323.15,-18.69112519,-19.65521536,776.39,58.0795,REF,-1.67281467,0.1893023303,-0.60281411,-0.9640901699999986,-18.69112519,-19.34023031,776.39,58.0795,SLE,-1.26448261,0.3822813968,-0.26965359,0.05438979,-0.649105119999998,0.40833206,0.33316051999999996,0.19297906650000002,0.31498505000000065
propanone,318.15,-18.95333714,-19.94909457,780.84,58.0795,REF,-1.73851068,0.1667465916,-0.65864106,-0.9957574300000012,-18.95333714,-19.63264163,780.84,58.0795,SLE,-1.31008185,0.3564997782,-0.30146579,0.04896865,-0.6793044899999998,0.4284288300000001,0.35717527,0.1897531866,0.31645294000000135
propanone,313.15,-19.21697271,-20.2433588,785.33,58.0795,REF,-1.80702944,0.1456239562,-0.71794994,-1.026386089999999,-19.21697271,-19.92718545,785.33,58.0795,SLE,-1.35664864,0.3311398136,-0.33488116,0.04398974,-0.7102127399999993,0.4503808,0.38306878,0.1855158574,0.3161733499999997
propanone,308.15,-19.48199998,-20.53780073,789.86,58.0795,REF,-1.87863274,0.1260194954,-0.78098023,-1.0558007499999995,-19.48199998,-20.22378221,789.86,58.0795,SLE,-1.4042643,0.306307282,-0.36996872,0.03942173,-0.7417822299999983,0.4743684400000001,0.4110115100000001,0.18028778660000003,0.3140185200000012
propanone,303.15,-19.74838803,-20.83222694,794.43,58.0795,REF,-1.95359036,0.1079995178,-0.84797807,-1.0838389100000008,-19.74838803,-20.52234741,794.43,58.0795,SLE,-1.45301985,0.2821032383,-0.40680545,0.03523548,-0.7739593799999973,0.50057051,0.44117262,0.1741037205,0.30987953000000346
propanone,298.15,-20.01610718,-21.126451,799.05,58.0795,REF,-2.03218594,0.0916066148,-0.91920108,-1.1103438200000006,-20.01610718,-20.82277971,799.05,58.0795,SLE,-1.50302564,0.2586188309,-0.44548479,0.03140323,-0.8066725300000002,0.5291603000000002,0.47371629,0.1670122161,0.3036712900000005
acetylacetone,403.15,-14.71611476,-14.54685125,867.41,100.1163,REF,-1.18301828,0.3047287554,-0.35183286,0.1692635100000004,-14.71611476,-14.63701618,867.41,100.1163,SLE,-0.82191188,0.5254947455,-0.09863915,0.15069128,0.07909858000000014,0.36110639999999994,0.25319371,0.22076599009999998,-0.09016493000000025
acetylacetone,398.15,-14.95115832,-14.75520553,871.9,100.1163,REF,-1.26139519,0.2656360768,-0.41210843,0.19595278999999977,-14.95115832,-14.8460195,871.9,100.1163,SLE,-0.88360369,0.4842035332,-0.13513105,0.13073634,0.10513881999999874,0.37779149999999995,0.27697738000000005,0.21856745639999997,-0.09081397000000102
acetylacetone,393.15,-15.18811761,-14.96730821,876.41,100.1163,REF,-1.34074691,0.2298386107,-0.47535601,0.22080940000000027,-15.18811761,-15.05483313,876.41,100.1163,SLE,-0.94803623,0.4422357441,-0.17547669,0.11271034,0.13328448000000037,0.39271068,0.29987932,0.2123971334,-0.0875249199999999
acetylacetone,388.15,-15.42696862,-15.18346249,880.96,100.1163,REF,-1.42092688,0.1975192557,-0.54127933,0.2435061300000001,-15.42696862,-15.2643989,880.96,100.1163,SLE,-1.01477192,0.400426096,-0.21953601,0.09665584,0.16256972000000047,0.40615495999999984,0.32174331999999994,0.2029068403,-0.08093640999999963
acetylacetone,383.15,-15.66768595,-15.40376538,885.53,100.1163,REF,-1.5018977,0.1686817272,-0.60966144,0.2639205699999998,-15.66768595,-15.47576422,885.53,100.1163,SLE,-1.08328938,0.3596339823,-0.2670185,0.08254877,0.1919217299999989,0.4186083199999999,0.34264294,0.1909522551,-0.0719988400000009
acetylacetone,378.15,-15.91024291,-15.62816583,890.12,100.1163,REF,-1.58370483,0.1432036171,-0.68036037,0.28207707999999876,-15.91024291,-15.68989019,890.12,100.1163,SLE,-1.15308878,0.3206159931,-0.31755426,0.07029286,0.22035271999999928,0.43061605000000003,0.36280611000000007,0.17741237599999998,-0.06172435999999948
acetylacetone,373.15,-16.15461156,-15.85652552,894.75,100.1163,REF,-1.66644652,0.1208838417,-0.75329333,0.2980860399999994,-16.15461156,-15.90755684,894.75,100.1163,SLE,-1.22374877,0.2839540554,-0.37075177,0.05973808,0.2470547199999995,0.44269775,0.38254156,0.16307021370000002,-0.05103131999999988
acetylacetone,368.15,-16.40076282,-16.08866234,899.4,100.1163,REF,-1.75025171,0.1014775437,-0.82842183,0.31210048000000157,-16.40076282,-16.1292826,899.4,100.1163,SLE,-1.29497968,0.2500188066,-0.42626496,0.05070144,0.2714802200000008,0.45527202999999994,0.40215687,0.14854126289999997,-0.04062026000000074
acetylacetone,363.15,-16.64866657,-16.32437871,904.08,100.1163,REF,-1.83526509,0.0847201525,-0.90573961,0.3242878599999983,-16.64866657,-16.35535328,904.08,100.1163,SLE,-1.36661521,0.2189924466,-0.48381486,0.04299172,0.2933132900000004,0.4686498800000001,0.42192475,0.1342722941,-0.030974569999997925
acetylacetone,358.15,-16.89829177,-16.56348257,908.78,100.1163,REF,-1.92163551,0.0703436473,-0.98526149,0.3348091999999987,-16.89829177,-16.5858553,908.78,100.1163,SLE,-1.43860081,0.1909052397,-0.54320316,0.03642497,0.3124364700000015,0.48303469999999993,0.44205832999999994,0.1205615924,-0.022372729999997176
acetylacetone,353.15,-17.14960654,-16.80579753,913.51,100.1163,REF,-2.00951007,0.0580865446,-1.06701649,0.3438090100000011,-17.14960654,-16.82073908,913.51,100.1163,SLE,-1.5109625,0.1656822125,-0.60430205,0.03083454,0.32886746000000144,0.49854757000000016,0.46271444000000006,0.10759566790000001,-0.014941549999999637
acetylacetone,348.15,-17.40257834,-17.05116856,918.27,100.1163,REF,-2.09903044,0.0477001097,-1.1510428,0.3514097800000009,-17.40257834,-17.05986947,918.27,100.1163,SLE,-1.58378107,0.1431815015,-0.66704139,0.02607468,0.3427088700000027,0.51524937,0.48400140999999997,0.09548139180000001,-0.008700909999998174
acetylacetone,343.15,-17.65717409,-17.29946385,923.06,100.1163,REF,-2.19033145,0.0389519705,-1.23738478,0.35771024000000295,-17.65717409,-17.30306181,923.06,100.1163,SLE,-1.65717322,0.1232228002,-0.7313968,0.02202048,0.3541122800000025,0.53315823,0.50598798,0.0842708297,-0.0035979600000004552
