Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
cyclohexane,318.15,-27.99930125,-25.6684043,751.37,84.16,SLE,-5.01742892,0.0001160899,-4.0667082,9.61e-06,2.3308969499999996
cyclohexane,313.15,-28.36744033,-25.97824991,755.79,84.16,SLE,-5.18530408,7.88741e-05,-4.23202456,6.53e-06,2.389190420000002
cyclohexane,308.15,-28.73788959,-26.28969312,760.26,84.16,SLE,-5.35913257,5.28587e-05,-4.40328512,4.37e-06,2.4481964700000027
cyclohexane,303.15,-29.11061966,-26.60266596,764.78,84.16,SLE,-5.53923676,3.49156e-05,-4.58081153,2.89e-06,2.5079537000000016
cyclohexane,298.15,-29.48560345,-26.91710401,769.35,84.16,SLE,-5.72595977,2.27144e-05,-4.76494627,1.88e-06,2.56849944
cyclohexanol,403.15,-22.12730948,-20.9420982,849.16,100.1595,SLE,-2.7168606,0.019153944,-1.79364469,0.00191928,1.1852112800000008
cyclohexanol,398.15,-22.45099291,-21.14923219,853.6,100.1595,SLE,-2.85196594,0.0140981612,-1.92513634,0.00140616,1.3017607200000008
cyclohexanol,393.15,-22.77754467,-21.35970466,858.06,100.1595,SLE,-2.99024666,0.0102893888,-2.0601397,0.00102271,1.4178400100000026
cyclohexanol,388.15,-23.10693885,-21.57343612,862.55,100.1595,SLE,-3.13185561,0.0074456566,-2.19872881,0.00073815,1.5335027299999986
cyclohexanol,383.15,-23.4391479,-21.79038036,867.07,100.1595,SLE,-3.27693374,0.0053413806,-2.34098274,0.00052853,1.648767539999998
cyclohexanol,378.15,-23.77414272,-22.01052734,871.61,100.1595,SLE,-3.42560767,0.0037982738,-2.48697985,0.00037531,1.763615380000001
cyclohexanol,373.15,-24.11189277,-22.23390603,876.18,100.1595,SLE,-3.57798708,0.0026769925,-2.63679252,0.00026425,1.8779867400000008
cyclohexanol,368.15,-24.45236622,-22.46058471,880.78,100.1595,SLE,-3.73416358,0.0018697664,-2.79048369,0.00018443,1.9917815099999991
cyclohexanol,363.15,-24.79553009,-22.69066632,885.4,100.1595,SLE,-3.89421224,0.0012940898,-2.9481066,0.00012758,2.1048637700000015
cyclohexanol,358.15,-25.14135041,-22.92428456,890.05,100.1595,SLE,-4.05819297,0.0008874483,-3.1097047,8.746e-05,2.217065850000001
cyclohexanol,353.15,-25.4897924,-23.16159889,894.73,100.1595,SLE,-4.22615266,0.0006029688,-3.27531254,5.941e-05,2.3281935099999984
cyclohexanol,348.15,-25.84082069,-23.40278846,899.43,100.1595,SLE,-4.39812813,0.000405879,-3.44495783,3.998e-05,2.438032230000001
cyclohexanol,343.15,-26.1943995,-23.64804687,904.17,100.1595,SLE,-4.57414889,0.0002706629,-3.61866343,2.666e-05,2.5463526299999977
cyclohexanol,338.15,-26.55049287,-23.89757662,908.93,100.1595,SLE,-4.75424038,0.0001788024,-3.79644991,1.761e-05,2.6529162500000005
cyclohexanol,333.15,-26.90906493,-24.15158443,913.72,100.1595,SLE,-4.93842679,0.0001170068,-3.97833804,1.152e-05,2.7574805
cyclohexanol,328.15,-27.27008015,-24.41027694,918.53,100.1595,SLE,-5.12673413,7.58437e-05,-4.16435135,7.47e-06,2.859803209999999
cyclohexanol,323.15,-27.63350359,-24.67385725,923.38,100.1595,SLE,-5.31919277,4.86936e-05,-4.35451853,4.8e-06,2.959646339999999
cyclohexanol,318.15,-27.99930125,-24.94252221,928.25,100.1595,SLE,-5.51583992,3.09622e-05,-4.54887563,3.05e-06,3.0567790399999986
