Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,delta_mu
"2,3-dihydropyran",343.15,1.3658688,3.03940847,896.21,84.1169,REF,-4.07287949,0.0002334829,-3.0453991,1.67353967
"2,3-dihydropyran",338.15,1.10057361,2.83590017,901.03,84.1169,REF,-4.31500492,0.000133708,-3.28517459,1.7353265599999999
"2,3-dihydropyran",333.15,0.82944309,2.62762004,905.89,84.1169,REF,-4.56509577,7.51766e-05,-3.53291955,1.79817695
"2,3-dihydropyran",328.15,0.55242703,2.41448441,910.78,84.1169,REF,-4.82349386,4.14662e-05,-3.78897264,1.86205738
"2,3-dihydropyran",323.15,0.26948871,2.19638356,915.7,84.1169,REF,-5.09053543,2.24211e-05,-4.05366813,1.92689485
"2,3-dihydropyran",318.15,-0.01939498,1.97319118,920.66,84.1169,REF,-5.36655707,1.18751e-05,-4.32734143,1.9925861599999999
"2,3-dihydropyran",313.15,-0.31423366,1.74477144,925.66,84.1169,REF,-5.6519009,6.155972e-06,-4.61033394,2.0590051000000003
"2,3-dihydropyran",308.15,-0.6150239,1.51098452,930.69,84.1169,REF,-5.94691908,3.120896e-06,-4.90299742,2.12600842
"2,3-dihydropyran",303.15,-0.92174984,1.27169072,935.76,84.1169,REF,-6.25197815,1.54604e-06,-5.20569817,2.19344056
"2,3-dihydropyran",298.15,-1.23438398,1.02675355,940.86,84.1169,REF,-6.56746309,7.477147e-07,-5.51882105,2.26113753
dimethylformamide,403.15,4.12814181,3.44557517,801.05,73.0941,REF,-0.76052891,0.400307068,0.18254424,-0.6825666399999997
dimethylformamide,398.15,3.9249904,3.14047133,805.29,73.0941,REF,-0.83469308,0.352654044,0.12445728,-0.78451907
dimethylformamide,393.15,3.71738099,2.83081867,809.57,73.0941,REF,-0.91069318,0.307989606,0.06300656,-0.8865623199999999
dimethylformamide,388.15,3.50516833,2.51741572,813.88,73.0941,REF,-0.98913154,0.2663890583,-0.0022513,-0.9877526100000003
dimethylformamide,383.15,3.28820878,2.20098727,818.22,73.0941,REF,-1.07059897,0.2279435861,-0.07178114,-1.08722151
dimethylformamide,378.15,3.06636144,1.88219938,822.59,73.0941,REF,-1.15568197,0.1927464731,-0.146067,-1.18416206
dimethylformamide,373.15,2.83948933,1.56164747,826.99,73.0941,REF,-1.24495486,0.1608816856,-0.22559753,-1.27784186
dimethylformamide,368.15,2.6074606,1.23983576,831.43,73.0941,REF,-1.33896593,0.1324090915,-0.31084626,-1.36762484
dimethylformamide,363.15,2.37014979,0.917157,835.9,73.0941,REF,-1.43822276,0.1073467402,-0.40225128,-1.4529927900000001
dimethylformamide,358.15,2.12743908,0.59382889,840.4,73.0941,REF,-1.54314977,0.0856592985,-0.50016931,-1.5336101899999997
dimethylformamide,353.15,1.87921951,0.26990847,844.94,73.0941,REF,-1.65409055,0.067238791,-0.60487304,-1.60931104
dimethylformamide,348.15,1.62539208,-0.05474925,849.51,73.0941,REF,-1.77127533,0.0519032011,-0.7165176,-1.6801413299999999
dimethylformamide,343.15,1.3658688,-0.38049371,854.12,73.0941,REF,-1.89481052,0.0394004028,-0.83512976,-1.74636251
dimethylformamide,338.15,1.10057361,-0.70783273,858.76,73.0941,REF,-2.0246988,0.0294208078,-0.96062926,-1.8084063400000001
